Smiles,Y_AVERAGE,Y,nN,SPI,TI1,TI2,Rww,MAXDP,DELS,TIE,S3K,PHI,BAC,MPC07,MPC08,MPC09,MPC10,X4v,DP04,SP06,J3D,RGyr,HOMA,HOMT,DISPv,RDF090u,RDF015m,RDF030m,RDF035m,RDF085m,RDF010v,RDF020v,RDF070v,RDF080v,RDF085v,RDF070e,RDF085e,RDF020p,RDF070p,RDF080p,RDF085p,RDF090p,Mor03m,Mor04m,Mor05m,Mor08m,Mor11m,Mor12m,Mor13m,Mor19m,Mor21m,Mor25m,Mor27m,Mor03v,Mor11v,Mor18v,Mor07e,Mor18e,Mor10p,Mor11p,Mor18p,Mor19p,L2m,L2v,L1p,L2s,Tm,Tv,Tp,Ts,As,Vv,RCON,RTe,nCconj,TE1,TPSA(NO),TPSA(Tot)
Cc1c(C)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2oc1=O,1,1,1,13.783,123.474,7.004,24.254,4.843,22.518,50.276,5.49,7.62,17,73,73,73,63,4.56,6.757,7.076,3.028,3.419,0.605,6.052,3.715,6.434,13.901,8.028,17.723,5.567,2.271,1.61,7.747,3.803,4.361,27.406,12.132,2.057,9.494,4.771,5.513,2.302,-5.05,-0.108,-3.635,-0.626,0.233,0.63,-0.728,0.13,-0.023,0.302,-0.217,-3.473,-0.018,-0.133,4.851,-0.742,0.254,-0.104,-0.215,0.616,3.286,3.793,7.273,3.307,11.738,12.825,13.101,11.494,38.509,112.078,36.649,35.684,3,13.202,42.68,100.07
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3CCCCC3)ccc12,1,1,1,13.783,123.474,7.004,24.254,4.711,25.562,52.6,5.626,7.88,17,73,73,73,63,4.585,8.677,9.839,2.17,5.266,0.515,5.153,14.271,12.264,13.279,12.86,12.005,9.069,2.029,2.764,4.471,4.593,8.089,13.437,17.209,3.627,5.223,5.814,9.91,7.012,-5.566,-0.762,-4.707,-1.116,-0.067,0.871,-0.575,0.016,0.566,0.5,-0.123,-3.506,-0.078,-0.131,5.553,-0.277,0.4,-0.236,-0.177,0.427,2.857,2.992,23.409,3.034,28.839,27.676,27.758,28.241,100.918,212.38,29.45,29.159,3,11.113,42.68,100.07
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3CCCCC3C)ccc12,1,1,1,15.855,131.737,7.22,25.812,4.731,26.437,57.18,5.662,8.094,26,75,76,75,65,5.03,7.311,7.772,2.869,3.982,0.606,6.063,5.458,16.697,13.863,10.687,11.365,7.668,2.154,1.609,13.237,11.058,5.834,30.159,18.13,2.022,15.192,13.465,7.407,5.825,-5.137,-1.761,-4.954,-1.047,0.233,0.187,-0.313,-0.035,0.351,0.29,-0.244,-2.72,-0.183,-0.248,3.099,-1.055,-0.287,-0.327,-0.368,0.589,5.534,6.132,8.642,5.698,15.955,15.475,15.873,15.126,62.027,132.765,33.322,33.454,3,12.936,42.68,100.07
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3C(C)CCCC3C)ccc12,1,1,1,17.764,139.641,7.389,27.417,4.752,27.354,62.021,5.69,8.312,37,77,79,77,67,5.594,9.484,10.91,2.19,6.183,0.616,6.158,18.851,22.629,14.803,10.924,14.655,5.916,2.311,1.561,6.587,6.902,7.352,18.454,16.011,1.965,7.402,8.239,8.109,10.256,-4.778,-2.417,-4.673,-1.352,-0.049,0.584,-0.662,0.159,0.087,0.302,-0.021,-3.888,-0.36,-0.39,4.538,-1.064,0.062,-0.601,-0.41,0.86,1.613,1.764,32.873,1.535,40.083,36.331,36.054,40.602,95.849,210.41,29.986,29.985,3,11.746,42.68,100.07
CCOC(=O)c1cc2ccc(OCCCCSC(=S)N3CCCCC3)cc2oc1=O,1,1,1,14.988,150.4,7.226,30.36,5.038,34.916,67.693,6.802,9.186,20,86,94,95,84,4.575,10.11,12.246,1.822,6.88,0.615,7.384,6.122,13.087,14.017,4.09,10.789,10.224,2.25,1.836,4.269,4.634,10.461,16.597,24.66,2.291,5.101,6.072,12.203,4.604,-4.891,-1.594,-5.249,-1.755,0.028,0.969,-0.608,-0.001,0.113,0.245,-0.396,-3.459,-0.228,-0.409,5.39,-1.515,-0.633,-0.336,-0.499,0.624,1.216,1.16,48.909,1.255,47.622,50.605,50.806,48.893,75.959,169.99,26.05,27.198,4,14.192,68.98,126.37
O=c1cc(-c2ccccc2)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2o1,1,1,1,10.635,223.422,7.136,25.595,5.067,23.27,51.617,6.12,8.061,5,108,118,124,117,5.132,9.855,11.736,1.624,6.454,0.585,9.948,18.099,14.524,12.681,5.785,12.067,8.39,2.367,2.546,7.325,6.491,8.677,22.163,19.297,3.24,8.284,8.233,9.847,6.33,-4.879,-1.63,-5.469,-1.867,0.052,1.38,-0.725,-0.329,0.586,0.2,-0.443,-3.854,0.014,-0.588,6.755,-1.562,-0.537,-0.031,-0.666,0.338,2.92,2.759,41.165,3.273,42.001,44.635,44.491,43.774,144.972,238.932,27.795,27.523,3,11.896,42.68,100.07
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,0,0,2,11.16,31.106,3.607,20.447,4.759,17.684,33.906,3.472,4.917,30,63,69,58,51,2.346,6.59,7.031,2.969,3.446,0.471,2.826,5.88,7.945,10.687,4.166,7.43,0.982,1.848,1.655,8.683,5.579,2.137,22.207,9.507,2.077,9.368,6.37,2.715,2.437,-1.556,-0.755,-2.394,-1.488,-0.055,0.57,-0.436,-0.121,-0.187,-0.024,-0.017,-1.006,-0.185,-0.055,4.574,-0.595,0.203,-0.3,-0.084,0.262,4.017,4.649,8.18,4.037,11.944,13.372,13.742,11.892,37.797,89.191,25.356,25.722,0,9.733,41.57,41.57
C#CCn1c(-c2ccc(C(=O)N3CCN(CC=C)CC3)cc2)nc2ccccc21,1,1,4,12.577,158.114,4.575,23.357,5.862,21.067,45.198,3.922,5.689,18,131,145,152,165,3.931,8.493,9.827,1.929,4.811,0.557,10.581,15.421,20.667,11.418,7.597,14.569,8.925,2.277,4.829,10.389,7.269,9.709,23.01,19.91,5.417,11.424,8.254,10.387,9.479,-2.224,-1.825,-4.899,-1.16,0.264,1.143,-0.929,-0.723,0.151,0.104,-0.061,-2.164,0.121,-0.267,7.202,-0.797,-0.151,0.055,-0.283,-0.444,3.871,4.014,21.048,4.399,23.522,25.095,25.5,23.604,86.626,141.824,28.223,28.023,1,12.335,40.32,40.32
C#CCn1c(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)cc2)nc2ccccc21,1,1,5,15.385,187.221,5.109,27.534,5.982,20.834,50.214,4.764,6.604,26,135,153,164,173,4.131,8.897,10.281,1.99,5.237,0.558,10.602,23.516,24.451,14.148,8.834,13.149,10.511,2.602,4.978,11.348,8.634,11.788,29.023,26.181,5.556,12.764,9.569,12.77,10.469,-3.186,-1.059,-5.167,-1.463,0.353,0.947,-1.089,-0.572,-0.026,0.114,-0.081,-3.161,0.121,-0.047,7.009,-0.423,-0.362,0.024,-0.027,-0.301,4.696,4.758,24.846,5.229,28.251,29.807,30.2,28.258,124.901,213.872,30.704,30.211,1,13.738,43.56,43.56
Cc1ccc(/C=C/C(=O)c2ccc(N3CCNCC3)cc2)cc1,0,0,2,8.648,80.319,4.885,19.01,5.262,13.436,32.737,4.158,5.015,5,60,60,62,64,2.705,8.08,9.305,2.068,4.586,0.602,10.23,6.095,14.566,8.809,4.183,8.541,4.414,2.14,3.5,5.792,4.929,5.71,14.431,11.52,4.475,6.637,5.368,6.311,6.828,-2.966,-0.78,-3.872,-1.274,-0.065,1.136,-0.757,-0.365,0.1,0.482,-0.094,-2.534,-0.004,-0.52,6.067,-0.61,-0.126,-0.016,-0.551,-0.145,2.654,2.555,20.366,2.973,21.142,22.827,23.34,20.263,54.116,98.172,26.234,25.781,3,8.145,32.34,32.34
